correctionTimer ; 198.579 ; 3.67739 ; setSolutionTimer ; 7.1757 ; 0.132883 ; cycleWatch ; 11406 ; 1267.33 ; setupWatch ; 36.1517 ; 36.1517 ; restrictionTimer ; 215.364 ; 3.98823 ; preSmoothTimer ; 5075.56 ; 93.9919 ; upResidualTimer ; 467.119 ; 8.65035 ; postSmoothTimer ; 5002.37 ; 92.6365 ; commTimer ; 1428.95 ; 2.18494 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.502 ; 3.67597 ; setSolutionTimer ; 6.68351 ; 0.123769 ; cycleWatch ; 11416.3 ; 1268.47 ; setupWatch ; 36.1344 ; 36.1344 ; restrictionTimer ; 214.176 ; 3.96622 ; preSmoothTimer ; 5064.21 ; 93.7816 ; upResidualTimer ; 480.278 ; 8.89404 ; postSmoothTimer ; 5008.36 ; 92.7474 ; commTimer ; 1475.68 ; 2.25639 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.652 ; 3.67874 ; setSolutionTimer ; 6.69532 ; 0.123987 ; cycleWatch ; 11432.4 ; 1270.26 ; setupWatch ; 36.1448 ; 36.1448 ; restrictionTimer ; 213.668 ; 3.95682 ; preSmoothTimer ; 5062.68 ; 93.7533 ; upResidualTimer ; 482.395 ; 8.93325 ; postSmoothTimer ; 5027.27 ; 93.0976 ; commTimer ; 1520.81 ; 2.3254 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.609 ; 3.67795 ; setSolutionTimer ; 6.67927 ; 0.12369 ; cycleWatch ; 11451.6 ; 1272.4 ; setupWatch ; 36.1006 ; 36.1006 ; restrictionTimer ; 226.631 ; 4.19688 ; preSmoothTimer ; 5035.62 ; 93.2523 ; upResidualTimer ; 496.561 ; 9.19557 ; postSmoothTimer ; 5033.87 ; 93.2199 ; commTimer ; 1456.23 ; 2.22666 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.666 ; 3.67899 ; setSolutionTimer ; 6.79039 ; 0.125748 ; cycleWatch ; 11435.7 ; 1270.64 ; setupWatch ; 36.0881 ; 36.0881 ; restrictionTimer ; 222.839 ; 4.12666 ; preSmoothTimer ; 5044.64 ; 93.4192 ; upResidualTimer ; 491.186 ; 9.09604 ; postSmoothTimer ; 5028.19 ; 93.1147 ; commTimer ; 1393.85 ; 2.13127 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.737 ; 3.68032 ; setSolutionTimer ; 6.91111 ; 0.127984 ; cycleWatch ; 11440.5 ; 1271.17 ; setupWatch ; 36.0967 ; 36.0967 ; restrictionTimer ; 218.271 ; 4.04205 ; preSmoothTimer ; 5048.83 ; 93.4969 ; upResidualTimer ; 491.44 ; 9.10073 ; postSmoothTimer ; 5030.78 ; 93.1626 ; commTimer ; 1394.99 ; 2.13301 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.627 ; 3.67828 ; setSolutionTimer ; 6.79724 ; 0.125875 ; cycleWatch ; 11448.8 ; 1272.09 ; setupWatch ; 36.1159 ; 36.1159 ; restrictionTimer ; 218.746 ; 4.05085 ; preSmoothTimer ; 5048.2 ; 93.4852 ; upResidualTimer ; 491.823 ; 9.10784 ; postSmoothTimer ; 5036.89 ; 93.2757 ; commTimer ; 1419.1 ; 2.16988 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.61 ; 3.67796 ; setSolutionTimer ; 6.70492 ; 0.124165 ; cycleWatch ; 11446.8 ; 1271.86 ; setupWatch ; 36.0806 ; 36.0806 ; restrictionTimer ; 219.994 ; 4.07397 ; preSmoothTimer ; 5046.44 ; 93.4527 ; upResidualTimer ; 492.449 ; 9.11942 ; postSmoothTimer ; 5035.22 ; 93.2448 ; commTimer ; 1414.3 ; 2.16254 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.62 ; 3.67815 ; setSolutionTimer ; 6.92155 ; 0.128177 ; cycleWatch ; 11442.7 ; 1271.42 ; setupWatch ; 36.0875 ; 36.0875 ; restrictionTimer ; 217.848 ; 4.03423 ; preSmoothTimer ; 5049.07 ; 93.5013 ; upResidualTimer ; 491.671 ; 9.10501 ; postSmoothTimer ; 5032.63 ; 93.1968 ; commTimer ; 1395.07 ; 2.13314 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.655 ; 3.6788 ; setSolutionTimer ; 6.74013 ; 0.124817 ; cycleWatch ; 11437 ; 1270.78 ; setupWatch ; 36.1175 ; 36.1175 ; restrictionTimer ; 225.339 ; 4.17294 ; preSmoothTimer ; 5044.06 ; 93.4086 ; upResidualTimer ; 489.34 ; 9.06184 ; postSmoothTimer ; 5029.05 ; 93.1306 ; commTimer ; 1392.65 ; 2.12943 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.861 ; 3.68261 ; setSolutionTimer ; 6.74264 ; 0.124864 ; cycleWatch ; 11447 ; 1271.89 ; setupWatch ; 36.0903 ; 36.0903 ; restrictionTimer ; 224.329 ; 4.15424 ; preSmoothTimer ; 5040.17 ; 93.3364 ; upResidualTimer ; 494.32 ; 9.15407 ; postSmoothTimer ; 5030.8 ; 93.163 ; commTimer ; 1433.65 ; 2.19212 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.601 ; 3.6778 ; setSolutionTimer ; 6.6891 ; 0.123872 ; cycleWatch ; 11439.3 ; 1271.04 ; setupWatch ; 36.1118 ; 36.1118 ; restrictionTimer ; 211.476 ; 3.91621 ; preSmoothTimer ; 5058.33 ; 93.6728 ; upResidualTimer ; 488.927 ; 9.0542 ; postSmoothTimer ; 5024.91 ; 93.0539 ; commTimer ; 1512.56 ; 2.31279 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.542 ; 3.6767 ; setSolutionTimer ; 6.70615 ; 0.124188 ; cycleWatch ; 11418.3 ; 1268.7 ; setupWatch ; 36.1409 ; 36.1409 ; restrictionTimer ; 211.317 ; 3.91328 ; preSmoothTimer ; 5064.29 ; 93.7832 ; upResidualTimer ; 482.998 ; 8.9444 ; postSmoothTimer ; 5015.3 ; 92.876 ; commTimer ; 1456.94 ; 2.22773 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.574 ; 3.6773 ; setSolutionTimer ; 7.25371 ; 0.134328 ; cycleWatch ; 11405.1 ; 1267.23 ; setupWatch ; 36.1041 ; 36.1041 ; restrictionTimer ; 220.162 ; 4.07707 ; preSmoothTimer ; 5071.03 ; 93.9079 ; upResidualTimer ; 466.778 ; 8.64403 ; postSmoothTimer ; 5010.25 ; 92.7824 ; commTimer ; 1416.34 ; 2.16566 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 189.492 ; 3.50911 ; setSolutionTimer ; 7.44004 ; 0.137779 ; cycleWatch ; 11392.7 ; 1265.86 ; setupWatch ; 36.111 ; 36.111 ; restrictionTimer ; 190.958 ; 3.53625 ; preSmoothTimer ; 5073.93 ; 93.9616 ; upResidualTimer ; 492.71 ; 9.12426 ; postSmoothTimer ; 4988.68 ; 92.3829 ; commTimer ; 1593.9 ; 2.43715 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 189.044 ; 3.50081 ; setSolutionTimer ; 8.17778 ; 0.15144 ; cycleWatch ; 11340.8 ; 1260.09 ; setupWatch ; 36.0596 ; 36.0596 ; restrictionTimer ; 217.055 ; 4.01954 ; preSmoothTimer ; 5103.59 ; 94.5109 ; upResidualTimer ; 436.407 ; 8.08161 ; postSmoothTimer ; 4992.64 ; 92.4563 ; commTimer ; 1449.39 ; 2.21619 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.658 ; 3.67884 ; setSolutionTimer ; 7.1324 ; 0.132082 ; cycleWatch ; 11405.1 ; 1267.24 ; setupWatch ; 36.0556 ; 36.0556 ; restrictionTimer ; 222.567 ; 4.1216 ; preSmoothTimer ; 5074.19 ; 93.9665 ; upResidualTimer ; 461.494 ; 8.54619 ; postSmoothTimer ; 5003.36 ; 92.6549 ; commTimer ; 1438.01 ; 2.19879 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.507 ; 3.67606 ; setSolutionTimer ; 6.70901 ; 0.124241 ; cycleWatch ; 11417.3 ; 1268.59 ; setupWatch ; 36.1026 ; 36.1026 ; restrictionTimer ; 212.497 ; 3.93514 ; preSmoothTimer ; 5065.18 ; 93.7997 ; upResidualTimer ; 481.122 ; 8.90966 ; postSmoothTimer ; 5009.24 ; 92.7638 ; commTimer ; 1481.63 ; 2.26549 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.58 ; 3.67742 ; setSolutionTimer ; 6.69862 ; 0.124049 ; cycleWatch ; 11433.4 ; 1270.37 ; setupWatch ; 36.0503 ; 36.0503 ; restrictionTimer ; 212.428 ; 3.93385 ; preSmoothTimer ; 5063.62 ; 93.7708 ; upResidualTimer ; 482.863 ; 8.94192 ; postSmoothTimer ; 5026.32 ; 93.08 ; commTimer ; 1527.31 ; 2.33534 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.638 ; 3.67849 ; setSolutionTimer ; 6.7213 ; 0.124468 ; cycleWatch ; 11453.3 ; 1272.59 ; setupWatch ; 36.0923 ; 36.0923 ; restrictionTimer ; 220.574 ; 4.08471 ; preSmoothTimer ; 5043.01 ; 93.389 ; upResidualTimer ; 495.368 ; 9.17348 ; postSmoothTimer ; 5033.89 ; 93.2202 ; commTimer ; 1489.98 ; 2.27826 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.709 ; 3.6798 ; setSolutionTimer ; 6.75276 ; 0.125051 ; cycleWatch ; 11431.7 ; 1270.19 ; setupWatch ; 36.0945 ; 36.0945 ; restrictionTimer ; 229.788 ; 4.25533 ; preSmoothTimer ; 5046.64 ; 93.4564 ; upResidualTimer ; 482.455 ; 8.93435 ; postSmoothTimer ; 5028.11 ; 93.1131 ; commTimer ; 1420.16 ; 2.1715 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.682 ; 3.67929 ; setSolutionTimer ; 7.3679 ; 0.136443 ; cycleWatch ; 11436.8 ; 1270.76 ; setupWatch ; 36.0905 ; 36.0905 ; restrictionTimer ; 219.236 ; 4.05993 ; preSmoothTimer ; 5060.18 ; 93.7071 ; upResidualTimer ; 478.834 ; 8.8673 ; postSmoothTimer ; 5030.74 ; 93.1619 ; commTimer ; 1413.25 ; 2.16093 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.652 ; 3.67873 ; setSolutionTimer ; 6.93743 ; 0.128471 ; cycleWatch ; 11450.9 ; 1272.33 ; setupWatch ; 36.0905 ; 36.0905 ; restrictionTimer ; 214.802 ; 3.97781 ; preSmoothTimer ; 5058.34 ; 93.6729 ; upResidualTimer ; 485.655 ; 8.99361 ; postSmoothTimer ; 5040.54 ; 93.3434 ; commTimer ; 1449.66 ; 2.2166 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.552 ; 3.67689 ; setSolutionTimer ; 6.774 ; 0.125445 ; cycleWatch ; 11450.9 ; 1272.33 ; setupWatch ; 36.1008 ; 36.1008 ; restrictionTimer ; 216.404 ; 4.00748 ; preSmoothTimer ; 5052.58 ; 93.5664 ; upResidualTimer ; 490 ; 9.07408 ; postSmoothTimer ; 5040.59 ; 93.3443 ; commTimer ; 1443.44 ; 2.20709 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
