correctionTimer ; 237.938 ; 2.83259 ; setSolutionTimer ; 17.7285 ; 0.211054 ; cycleWatch ; 18210.9 ; 1300.78 ; setupWatch ; 126.231 ; 126.231 ; restrictionTimer ; 1142.34 ; 13.5993 ; preSmoothTimer ; 4016.83 ; 47.8195 ; upResidualTimer ; 2098.48 ; 24.9819 ; postSmoothTimer ; 4010.81 ; 47.7477 ; commTimer ; 13652 ; 14.4312 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 238.32 ; 2.83714 ; setSolutionTimer ; 15.4963 ; 0.18448 ; cycleWatch ; 18195 ; 1299.65 ; setupWatch ; 130.151 ; 130.151 ; restrictionTimer ; 1168.97 ; 13.9163 ; preSmoothTimer ; 3985.25 ; 47.4434 ; upResidualTimer ; 2112.31 ; 25.1466 ; postSmoothTimer ; 3986.27 ; 47.4556 ; commTimer ; 13607 ; 14.3837 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 241.715 ; 2.87756 ; setSolutionTimer ; 16.1847 ; 0.192675 ; cycleWatch ; 18199 ; 1299.93 ; setupWatch ; 125.917 ; 125.917 ; restrictionTimer ; 1164.45 ; 13.8625 ; preSmoothTimer ; 3989.52 ; 47.4943 ; upResidualTimer ; 2114.11 ; 25.168 ; postSmoothTimer ; 3983.69 ; 47.4249 ; commTimer ; 13661.1 ; 14.4409 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 239.748 ; 2.85414 ; setSolutionTimer ; 16.0946 ; 0.191602 ; cycleWatch ; 18198.4 ; 1299.88 ; setupWatch ; 129.061 ; 129.061 ; restrictionTimer ; 1150.5 ; 13.6964 ; preSmoothTimer ; 4022.52 ; 47.8871 ; upResidualTimer ; 2099.56 ; 24.9948 ; postSmoothTimer ; 3990.81 ; 47.5096 ; commTimer ; 13643.9 ; 14.4227 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 239.132 ; 2.84681 ; setSolutionTimer ; 17.886 ; 0.212929 ; cycleWatch ; 18200 ; 1300 ; setupWatch ; 124.855 ; 124.855 ; restrictionTimer ; 1143.81 ; 13.6168 ; preSmoothTimer ; 4006.84 ; 47.7005 ; upResidualTimer ; 2119.04 ; 25.2266 ; postSmoothTimer ; 3999.15 ; 47.6089 ; commTimer ; 13644.9 ; 14.4238 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 238.968 ; 2.84486 ; setSolutionTimer ; 17.6857 ; 0.210544 ; cycleWatch ; 18174.5 ; 1298.18 ; setupWatch ; 125.899 ; 125.899 ; restrictionTimer ; 1132.51 ; 13.4822 ; preSmoothTimer ; 3987.5 ; 47.4703 ; upResidualTimer ; 2134.43 ; 25.4099 ; postSmoothTimer ; 3970.38 ; 47.2664 ; commTimer ; 13572 ; 14.3468 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 239.379 ; 2.84975 ; setSolutionTimer ; 17.3449 ; 0.206487 ; cycleWatch ; 18158.7 ; 1297.05 ; setupWatch ; 128.7 ; 128.7 ; restrictionTimer ; 1180.69 ; 14.0558 ; preSmoothTimer ; 3970.47 ; 47.2675 ; upResidualTimer ; 2112.54 ; 25.1492 ; postSmoothTimer ; 3947.7 ; 46.9964 ; commTimer ; 13574 ; 14.3488 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 230.774 ; 2.74731 ; setSolutionTimer ; 16.8724 ; 0.200862 ; cycleWatch ; 18126.4 ; 1294.74 ; setupWatch ; 128.235 ; 128.235 ; restrictionTimer ; 1151.35 ; 13.7066 ; preSmoothTimer ; 3934.04 ; 46.8338 ; upResidualTimer ; 2132.31 ; 25.3846 ; postSmoothTimer ; 3925.64 ; 46.7338 ; commTimer ; 13269.6 ; 14.0271 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 229.008 ; 2.72629 ; setSolutionTimer ; 15.8035 ; 0.188137 ; cycleWatch ; 18128.4 ; 1294.88 ; setupWatch ; 127.973 ; 127.973 ; restrictionTimer ; 1165.44 ; 13.8743 ; preSmoothTimer ; 3971.07 ; 47.2746 ; upResidualTimer ; 2021.36 ; 24.0638 ; postSmoothTimer ; 3950.02 ; 47.024 ; commTimer ; 12573.2 ; 13.2909 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 239.448 ; 2.85057 ; setSolutionTimer ; 17.6544 ; 0.210171 ; cycleWatch ; 18155.7 ; 1296.84 ; setupWatch ; 127.619 ; 127.619 ; restrictionTimer ; 1173.24 ; 13.9671 ; preSmoothTimer ; 3955.66 ; 47.0911 ; upResidualTimer ; 2071.52 ; 24.661 ; postSmoothTimer ; 3967.94 ; 47.2374 ; commTimer ; 13020.6 ; 13.7638 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
