correctionTimer ; 169.35 ; 3.13611 ; setSolutionTimer ; 14.7431 ; 0.27302 ; cycleWatch ; 38667.2 ; 4296.35 ; setupWatch ; 37.9679 ; 37.9679 ; restrictionTimer ; 278.302 ; 5.15375 ; preSmoothTimer ; 18609 ; 344.611 ; upResidualTimer ; 556.896 ; 10.3129 ; postSmoothTimer ; 18597.7 ; 344.402 ; commTimer ; 2222.99 ; 3.33782 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 173.577 ; 3.21439 ; setSolutionTimer ; 12.9412 ; 0.239652 ; cycleWatch ; 38672.9 ; 4296.99 ; setupWatch ; 39.2011 ; 39.2011 ; restrictionTimer ; 274.654 ; 5.08619 ; preSmoothTimer ; 18591.3 ; 344.283 ; upResidualTimer ; 580.232 ; 10.745 ; postSmoothTimer ; 18551.3 ; 343.542 ; commTimer ; 2393.41 ; 3.59371 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 174.314 ; 3.22804 ; setSolutionTimer ; 13.8424 ; 0.25634 ; cycleWatch ; 38671.7 ; 4296.86 ; setupWatch ; 39.8346 ; 39.8346 ; restrictionTimer ; 277.51 ; 5.13907 ; preSmoothTimer ; 18579.2 ; 344.059 ; upResidualTimer ; 588.506 ; 10.8983 ; postSmoothTimer ; 18548 ; 343.481 ; commTimer ; 2389.72 ; 3.58816 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 172.872 ; 3.20133 ; setSolutionTimer ; 13.2976 ; 0.246251 ; cycleWatch ; 38630.1 ; 4292.23 ; setupWatch ; 37.8869 ; 37.8869 ; restrictionTimer ; 317.536 ; 5.8803 ; preSmoothTimer ; 18543.1 ; 343.391 ; upResidualTimer ; 585.033 ; 10.8339 ; postSmoothTimer ; 18506 ; 342.704 ; commTimer ; 2353.33 ; 3.53354 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 174.168 ; 3.22534 ; setSolutionTimer ; 13.2599 ; 0.245553 ; cycleWatch ; 38627.1 ; 4291.9 ; setupWatch ; 38.1912 ; 38.1912 ; restrictionTimer ; 280.114 ; 5.1873 ; preSmoothTimer ; 18576 ; 344 ; upResidualTimer ; 589.567 ; 10.9179 ; postSmoothTimer ; 18501.5 ; 342.621 ; commTimer ; 2352.51 ; 3.53229 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 174.647 ; 3.2342 ; setSolutionTimer ; 13.5011 ; 0.25002 ; cycleWatch ; 38583.7 ; 4287.08 ; setupWatch ; 39.6818 ; 39.6818 ; restrictionTimer ; 316.043 ; 5.85265 ; preSmoothTimer ; 18555 ; 343.612 ; upResidualTimer ; 574.342 ; 10.636 ; postSmoothTimer ; 18469.5 ; 342.027 ; commTimer ; 2304.62 ; 3.46039 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 174.815 ; 3.23731 ; setSolutionTimer ; 13.8467 ; 0.256421 ; cycleWatch ; 38578.1 ; 4286.45 ; setupWatch ; 38.7183 ; 38.7183 ; restrictionTimer ; 283.7 ; 5.25371 ; preSmoothTimer ; 18597.8 ; 344.404 ; upResidualTimer ; 563.523 ; 10.4356 ; postSmoothTimer ; 18470.5 ; 342.046 ; commTimer ; 2294.05 ; 3.44452 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 172.113 ; 3.18727 ; setSolutionTimer ; 12.4738 ; 0.230997 ; cycleWatch ; 38553.4 ; 4283.71 ; setupWatch ; 37.2922 ; 37.2922 ; restrictionTimer ; 294.071 ; 5.44577 ; preSmoothTimer ; 18549.7 ; 343.513 ; upResidualTimer ; 602.505 ; 11.1575 ; postSmoothTimer ; 18422.9 ; 341.164 ; commTimer ; 2604.19 ; 3.91019 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 170.032 ; 3.14874 ; setSolutionTimer ; 13.3444 ; 0.247118 ; cycleWatch ; 38665.8 ; 4296.19 ; setupWatch ; 40.284 ; 40.284 ; restrictionTimer ; 276.449 ; 5.11943 ; preSmoothTimer ; 18613.1 ; 344.687 ; upResidualTimer ; 556.067 ; 10.2975 ; postSmoothTimer ; 18593.1 ; 344.317 ; commTimer ; 2213.07 ; 3.32293 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 174.428 ; 3.23015 ; setSolutionTimer ; 12.4695 ; 0.230917 ; cycleWatch ; 38672.2 ; 4296.92 ; setupWatch ; 37.1091 ; 37.1091 ; restrictionTimer ; 279.563 ; 5.1771 ; preSmoothTimer ; 18585.3 ; 344.173 ; upResidualTimer ; 581.726 ; 10.7727 ; postSmoothTimer ; 18545.8 ; 343.44 ; commTimer ; 2395.45 ; 3.59677 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 175.355 ; 3.24731 ; setSolutionTimer ; 14.5839 ; 0.270072 ; cycleWatch ; 38670.3 ; 4296.7 ; setupWatch ; 37.8553 ; 37.8553 ; restrictionTimer ; 276.757 ; 5.12514 ; preSmoothTimer ; 18579.1 ; 344.057 ; upResidualTimer ; 588.628 ; 10.9005 ; postSmoothTimer ; 18544.1 ; 343.41 ; commTimer ; 2391.22 ; 3.59042 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 173.646 ; 3.21566 ; setSolutionTimer ; 12.9968 ; 0.240681 ; cycleWatch ; 38626.8 ; 4291.87 ; setupWatch ; 37.091 ; 37.091 ; restrictionTimer ; 319.457 ; 5.91587 ; preSmoothTimer ; 18543.4 ; 343.397 ; upResidualTimer ; 583.023 ; 10.7967 ; postSmoothTimer ; 18503 ; 342.648 ; commTimer ; 2355.14 ; 3.53624 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 172.989 ; 3.2035 ; setSolutionTimer ; 14.0361 ; 0.259927 ; cycleWatch ; 38625.7 ; 4291.75 ; setupWatch ; 39.9427 ; 39.9427 ; restrictionTimer ; 279.234 ; 5.17101 ; preSmoothTimer ; 18576.2 ; 344.003 ; upResidualTimer ; 589.441 ; 10.9156 ; postSmoothTimer ; 18501.1 ; 342.613 ; commTimer ; 2347.03 ; 3.52407 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 173.133 ; 3.20617 ; setSolutionTimer ; 12.586 ; 0.233075 ; cycleWatch ; 38583.2 ; 4287.02 ; setupWatch ; 38.1955 ; 38.1955 ; restrictionTimer ; 316.171 ; 5.85502 ; preSmoothTimer ; 18554.1 ; 343.594 ; upResidualTimer ; 576.023 ; 10.6671 ; postSmoothTimer ; 18470.9 ; 342.054 ; commTimer ; 2306.27 ; 3.46286 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 175.14 ; 3.24333 ; setSolutionTimer ; 12.2851 ; 0.227502 ; cycleWatch ; 38578.4 ; 4286.49 ; setupWatch ; 37.9233 ; 37.9233 ; restrictionTimer ; 284.174 ; 5.26247 ; preSmoothTimer ; 18594.3 ; 344.338 ; upResidualTimer ; 568.13 ; 10.5209 ; postSmoothTimer ; 18467.8 ; 341.996 ; commTimer ; 2296.44 ; 3.44811 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 170.71 ; 3.1613 ; setSolutionTimer ; 12.5748 ; 0.232866 ; cycleWatch ; 38551.6 ; 4283.51 ; setupWatch ; 38.0095 ; 38.0095 ; restrictionTimer ; 293.853 ; 5.44173 ; preSmoothTimer ; 18549.5 ; 343.509 ; upResidualTimer ; 602.811 ; 11.1632 ; postSmoothTimer ; 18423.1 ; 341.169 ; commTimer ; 2606.33 ; 3.9134 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 168.494 ; 3.12026 ; setSolutionTimer ; 12.4496 ; 0.230549 ; cycleWatch ; 38655.5 ; 4295.05 ; setupWatch ; 39.3853 ; 39.3853 ; restrictionTimer ; 276.582 ; 5.1219 ; preSmoothTimer ; 18567.4 ; 343.842 ; upResidualTimer ; 602.26 ; 11.153 ; postSmoothTimer ; 18547.8 ; 343.477 ; commTimer ; 2498.25 ; 3.75112 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
