correctionTimer ; 252.662 ; 3.00788 ; setSolutionTimer ; 30.2081 ; 0.35962 ; cycleWatch ; 19309.5 ; 1379.25 ; setupWatch ; 126.495 ; 126.495 ; restrictionTimer ; 1285.67 ; 15.3055 ; preSmoothTimer ; 4419.64 ; 52.6148 ; upResidualTimer ; 2353.72 ; 28.0205 ; postSmoothTimer ; 4355.12 ; 51.8467 ; commTimer ; 14500.7 ; 15.3284 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 256.532 ; 3.05396 ; setSolutionTimer ; 33.0411 ; 0.393346 ; cycleWatch ; 19320.7 ; 1380.05 ; setupWatch ; 127.769 ; 127.769 ; restrictionTimer ; 1307.2 ; 15.5619 ; preSmoothTimer ; 4416.22 ; 52.5741 ; upResidualTimer ; 2336.85 ; 27.8197 ; postSmoothTimer ; 4362.41 ; 51.9334 ; commTimer ; 14424.6 ; 15.248 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 248.772 ; 2.96158 ; setSolutionTimer ; 29.8798 ; 0.355712 ; cycleWatch ; 19299.1 ; 1378.51 ; setupWatch ; 131.451 ; 131.451 ; restrictionTimer ; 1303.64 ; 15.5195 ; preSmoothTimer ; 4379.76 ; 52.14 ; upResidualTimer ; 2331.47 ; 27.7556 ; postSmoothTimer ; 4334.76 ; 51.6043 ; commTimer ; 14153 ; 14.9609 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 250.645 ; 2.98387 ; setSolutionTimer ; 29.1653 ; 0.347206 ; cycleWatch ; 19294.3 ; 1378.16 ; setupWatch ; 125.006 ; 125.006 ; restrictionTimer ; 1305.32 ; 15.5395 ; preSmoothTimer ; 4390.41 ; 52.2667 ; upResidualTimer ; 2320.28 ; 27.6224 ; postSmoothTimer ; 4337.21 ; 51.6334 ; commTimer ; 14147.3 ; 14.9549 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 250.29 ; 2.97964 ; setSolutionTimer ; 26.6784 ; 0.3176 ; cycleWatch ; 19331.4 ; 1380.81 ; setupWatch ; 131.377 ; 131.377 ; restrictionTimer ; 1295.55 ; 15.4232 ; preSmoothTimer ; 4411.33 ; 52.5158 ; upResidualTimer ; 2332.12 ; 27.7633 ; postSmoothTimer ; 4365 ; 51.9643 ; commTimer ; 14495.3 ; 15.3227 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 252.16 ; 3.00191 ; setSolutionTimer ; 29.2684 ; 0.348433 ; cycleWatch ; 19319.5 ; 1379.96 ; setupWatch ; 123.883 ; 123.883 ; restrictionTimer ; 1302.72 ; 15.5085 ; preSmoothTimer ; 4400.38 ; 52.3854 ; upResidualTimer ; 2336.96 ; 27.8209 ; postSmoothTimer ; 4360.73 ; 51.9135 ; commTimer ; 14462.4 ; 15.288 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 250.509 ; 2.98224 ; setSolutionTimer ; 33.6033 ; 0.40004 ; cycleWatch ; 19336.3 ; 1381.16 ; setupWatch ; 124.938 ; 124.938 ; restrictionTimer ; 1295.7 ; 15.4251 ; preSmoothTimer ; 4400.11 ; 52.3823 ; upResidualTimer ; 2349.9 ; 27.975 ; postSmoothTimer ; 4378.83 ; 52.1289 ; commTimer ; 14533.5 ; 15.3631 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 253.255 ; 3.01494 ; setSolutionTimer ; 27.3461 ; 0.325549 ; cycleWatch ; 19334.4 ; 1381.03 ; setupWatch ; 125.312 ; 125.312 ; restrictionTimer ; 1302.3 ; 15.5036 ; preSmoothTimer ; 4414.36 ; 52.5519 ; upResidualTimer ; 2333.51 ; 27.7798 ; postSmoothTimer ; 4375.31 ; 52.087 ; commTimer ; 14525.3 ; 15.3544 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 249.909 ; 2.97511 ; setSolutionTimer ; 28.4995 ; 0.33928 ; cycleWatch ; 19343 ; 1381.64 ; setupWatch ; 129.345 ; 129.345 ; restrictionTimer ; 1289.07 ; 15.3461 ; preSmoothTimer ; 4424.48 ; 52.6724 ; upResidualTimer ; 2345.15 ; 27.9185 ; postSmoothTimer ; 4381.36 ; 52.159 ; commTimer ; 14575.9 ; 15.4079 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 250.236 ; 2.979 ; setSolutionTimer ; 27.4244 ; 0.326481 ; cycleWatch ; 19340.3 ; 1381.45 ; setupWatch ; 130.444 ; 130.444 ; restrictionTimer ; 1308.96 ; 15.5829 ; preSmoothTimer ; 4409.85 ; 52.4983 ; upResidualTimer ; 2346.62 ; 27.9359 ; postSmoothTimer ; 4384.22 ; 52.1931 ; commTimer ; 14519.8 ; 15.3487 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
