correctionTimer ; 168.731 ; 3.51522 ; setSolutionTimer ; 5.87245 ; 0.122343 ; cycleWatch ; 5394.55 ; 674.319 ; setupWatch ; 32.7921 ; 32.7921 ; restrictionTimer ; 200.119 ; 4.16915 ; preSmoothTimer ; 2170.75 ; 45.224 ; upResidualTimer ; 373.427 ; 7.77974 ; postSmoothTimer ; 2141.49 ; 44.6144 ; commTimer ; 1662.55 ; 1.99346 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 166.845 ; 3.47594 ; setSolutionTimer ; 5.88726 ; 0.122651 ; cycleWatch ; 5392.09 ; 674.011 ; setupWatch ; 32.8671 ; 32.8671 ; restrictionTimer ; 199.502 ; 4.1563 ; preSmoothTimer ; 2171.92 ; 45.2484 ; upResidualTimer ; 372.695 ; 7.76449 ; postSmoothTimer ; 2141.64 ; 44.6176 ; commTimer ; 1663.03 ; 1.99404 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 166.817 ; 3.47535 ; setSolutionTimer ; 5.95885 ; 0.124143 ; cycleWatch ; 5387.67 ; 673.458 ; setupWatch ; 32.8534 ; 32.8534 ; restrictionTimer ; 196.988 ; 4.10391 ; preSmoothTimer ; 2174.78 ; 45.3079 ; upResidualTimer ; 372.636 ; 7.76324 ; postSmoothTimer ; 2135.37 ; 44.4869 ; commTimer ; 1681.43 ; 2.01611 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 169.658 ; 3.53455 ; setSolutionTimer ; 5.95074 ; 0.123974 ; cycleWatch ; 5391.69 ; 673.961 ; setupWatch ; 32.8973 ; 32.8973 ; restrictionTimer ; 199.78 ; 4.16208 ; preSmoothTimer ; 2172.51 ; 45.2606 ; upResidualTimer ; 372.277 ; 7.75576 ; postSmoothTimer ; 2137.78 ; 44.537 ; commTimer ; 1669.56 ; 2.00187 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 169.493 ; 3.5311 ; setSolutionTimer ; 5.91604 ; 0.123251 ; cycleWatch ; 5395.31 ; 674.414 ; setupWatch ; 32.7026 ; 32.7026 ; restrictionTimer ; 198.382 ; 4.13295 ; preSmoothTimer ; 2171.59 ; 45.2415 ; upResidualTimer ; 374.498 ; 7.80205 ; postSmoothTimer ; 2141.02 ; 44.6046 ; commTimer ; 1667.75 ; 1.9997 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 167.696 ; 3.49367 ; setSolutionTimer ; 5.94757 ; 0.123908 ; cycleWatch ; 5392.31 ; 674.039 ; setupWatch ; 32.8427 ; 32.8427 ; restrictionTimer ; 197.944 ; 4.12384 ; preSmoothTimer ; 2173.74 ; 45.2863 ; upResidualTimer ; 372.583 ; 7.76214 ; postSmoothTimer ; 2140.82 ; 44.6004 ; commTimer ; 1666.73 ; 1.99848 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 166.83 ; 3.47563 ; setSolutionTimer ; 5.88493 ; 0.122603 ; cycleWatch ; 5388.16 ; 673.52 ; setupWatch ; 32.9724 ; 32.9724 ; restrictionTimer ; 196.82 ; 4.10042 ; preSmoothTimer ; 2175.16 ; 45.3158 ; upResidualTimer ; 372.418 ; 7.75872 ; postSmoothTimer ; 2136.52 ; 44.5109 ; commTimer ; 1670.3 ; 2.00276 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 169.538 ; 3.53204 ; setSolutionTimer ; 6.02033 ; 0.125423 ; cycleWatch ; 5391.68 ; 673.96 ; setupWatch ; 32.9781 ; 32.9781 ; restrictionTimer ; 198.947 ; 4.14473 ; preSmoothTimer ; 2172.95 ; 45.2698 ; upResidualTimer ; 372.488 ; 7.76017 ; postSmoothTimer ; 2138.08 ; 44.5433 ; commTimer ; 1658.18 ; 1.98823 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 169.5 ; 3.53124 ; setSolutionTimer ; 5.9357 ; 0.12366 ; cycleWatch ; 5395.5 ; 674.437 ; setupWatch ; 32.8564 ; 32.8564 ; restrictionTimer ; 198.413 ; 4.13361 ; preSmoothTimer ; 2172.13 ; 45.2528 ; upResidualTimer ; 373.798 ; 7.78746 ; postSmoothTimer ; 2141.49 ; 44.6144 ; commTimer ; 1652.08 ; 1.98091 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 167.722 ; 3.49421 ; setSolutionTimer ; 5.91845 ; 0.123301 ; cycleWatch ; 5393.61 ; 674.201 ; setupWatch ; 32.8943 ; 32.8943 ; restrictionTimer ; 197.197 ; 4.10827 ; preSmoothTimer ; 2174.28 ; 45.2974 ; upResidualTimer ; 372.754 ; 7.76572 ; postSmoothTimer ; 2142.79 ; 44.6414 ; commTimer ; 1651.25 ; 1.97991 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
