correctionTimer ; 254.9 ; 3.03452 ; setSolutionTimer ; 8.57892 ; 0.10213 ; cycleWatch ; 5937.47 ; 424.105 ; setupWatch ; 48.1727 ; 48.1727 ; restrictionTimer ; 352.626 ; 4.19792 ; preSmoothTimer ; 1975.47 ; 23.5175 ; upResidualTimer ; 744.334 ; 8.86112 ; postSmoothTimer ; 1886.91 ; 22.4632 ; commTimer ; 2394.31 ; 2.53904 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 254.937 ; 3.03496 ; setSolutionTimer ; 9.70896 ; 0.115583 ; cycleWatch ; 5952.4 ; 425.171 ; setupWatch ; 48.1945 ; 48.1945 ; restrictionTimer ; 350.246 ; 4.16959 ; preSmoothTimer ; 1938.81 ; 23.0811 ; upResidualTimer ; 782.498 ; 9.31545 ; postSmoothTimer ; 1915.95 ; 22.809 ; commTimer ; 2118.52 ; 2.24658 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 254.888 ; 3.03438 ; setSolutionTimer ; 9.53538 ; 0.113516 ; cycleWatch ; 5934.98 ; 423.927 ; setupWatch ; 48.2455 ; 48.2455 ; restrictionTimer ; 338.762 ; 4.03288 ; preSmoothTimer ; 1974.74 ; 23.5088 ; upResidualTimer ; 758.38 ; 9.02834 ; postSmoothTimer ; 1938.66 ; 23.0792 ; commTimer ; 2157.45 ; 2.28785 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 255.145 ; 3.03744 ; setSolutionTimer ; 9.8628 ; 0.117414 ; cycleWatch ; 5945.36 ; 424.668 ; setupWatch ; 48.2911 ; 48.2911 ; restrictionTimer ; 326.665 ; 3.88887 ; preSmoothTimer ; 2018.65 ; 24.0316 ; upResidualTimer ; 726.456 ; 8.64829 ; postSmoothTimer ; 1914.97 ; 22.7973 ; commTimer ; 1915.45 ; 2.03123 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 254.788 ; 3.03319 ; setSolutionTimer ; 9.887 ; 0.117702 ; cycleWatch ; 5976.15 ; 426.868 ; setupWatch ; 48.2511 ; 48.2511 ; restrictionTimer ; 342.113 ; 4.07278 ; preSmoothTimer ; 1949.69 ; 23.2106 ; upResidualTimer ; 780.012 ; 9.28585 ; postSmoothTimer ; 1952.29 ; 23.2415 ; commTimer ; 1983.52 ; 2.10342 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 255.094 ; 3.03684 ; setSolutionTimer ; 9.76862 ; 0.116293 ; cycleWatch ; 5974.14 ; 426.725 ; setupWatch ; 48.3548 ; 48.3548 ; restrictionTimer ; 323.501 ; 3.8512 ; preSmoothTimer ; 1995.3 ; 23.7535 ; upResidualTimer ; 753.327 ; 8.96817 ; postSmoothTimer ; 1976.79 ; 23.5332 ; commTimer ; 1804.1 ; 1.91315 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 254.808 ; 3.03343 ; setSolutionTimer ; 10.1466 ; 0.120793 ; cycleWatch ; 5987.87 ; 427.705 ; setupWatch ; 48.3265 ; 48.3265 ; restrictionTimer ; 324.974 ; 3.86874 ; preSmoothTimer ; 2006.48 ; 23.8866 ; upResidualTimer ; 740.234 ; 8.81231 ; postSmoothTimer ; 1979.16 ; 23.5614 ; commTimer ; 1810.85 ; 1.9203 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 255.078 ; 3.03664 ; setSolutionTimer ; 9.56616 ; 0.113883 ; cycleWatch ; 5988.05 ; 427.718 ; setupWatch ; 48.3012 ; 48.3012 ; restrictionTimer ; 323.941 ; 3.85644 ; preSmoothTimer ; 1996.25 ; 23.7648 ; upResidualTimer ; 752.194 ; 8.95469 ; postSmoothTimer ; 1985.36 ; 23.6352 ; commTimer ; 1838.58 ; 1.94971 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 254.764 ; 3.0329 ; setSolutionTimer ; 10.1373 ; 0.120682 ; cycleWatch ; 5987.28 ; 427.663 ; setupWatch ; 47.4556 ; 47.4556 ; restrictionTimer ; 323.975 ; 3.85684 ; preSmoothTimer ; 2001.06 ; 23.8222 ; upResidualTimer ; 746.621 ; 8.88835 ; postSmoothTimer ; 1988.62 ; 23.674 ; commTimer ; 1803.84 ; 1.91287 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 255.126 ; 3.03722 ; setSolutionTimer ; 9.62614 ; 0.114597 ; cycleWatch ; 6002.32 ; 428.737 ; setupWatch ; 48.1124 ; 48.1124 ; restrictionTimer ; 324.613 ; 3.86444 ; preSmoothTimer ; 1933.6 ; 23.0191 ; upResidualTimer ; 813.909 ; 9.68939 ; postSmoothTimer ; 1978.01 ; 23.5478 ; commTimer ; 1933.84 ; 2.05073 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
