correctionTimer ; 167.813 ; 3.10764 ; setSolutionTimer ; 27.9097 ; 0.516847 ; cycleWatch ; 17086 ; 1898.45 ; setupWatch ; 98.1677 ; 98.1677 ; restrictionTimer ; 897.705 ; 16.6242 ; preSmoothTimer ; 4578.61 ; 84.7891 ; upResidualTimer ; 1539.03 ; 28.5005 ; postSmoothTimer ; 4577.38 ; 84.7663 ; commTimer ; 13640.1 ; 21.1803 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 167.26 ; 3.09741 ; setSolutionTimer ; 30.8175 ; 0.570695 ; cycleWatch ; 17101.6 ; 1900.18 ; setupWatch ; 97.6821 ; 97.6821 ; restrictionTimer ; 892.6 ; 16.5296 ; preSmoothTimer ; 4572.76 ; 84.6808 ; upResidualTimer ; 1558.31 ; 28.8576 ; postSmoothTimer ; 4593.34 ; 85.0618 ; commTimer ; 13856.3 ; 21.516 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 169.092 ; 3.13133 ; setSolutionTimer ; 31.1963 ; 0.577709 ; cycleWatch ; 17100.6 ; 1900.07 ; setupWatch ; 96.9486 ; 96.9486 ; restrictionTimer ; 894.779 ; 16.57 ; preSmoothTimer ; 4568.58 ; 84.6033 ; upResidualTimer ; 1563.77 ; 28.9588 ; postSmoothTimer ; 4590.81 ; 85.015 ; commTimer ; 13888 ; 21.5652 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 164.39 ; 3.04425 ; setSolutionTimer ; 25.1907 ; 0.466495 ; cycleWatch ; 17093.1 ; 1899.23 ; setupWatch ; 97.2997 ; 97.2997 ; restrictionTimer ; 889.242 ; 16.4674 ; preSmoothTimer ; 4553.07 ; 84.3161 ; upResidualTimer ; 1586.78 ; 29.3848 ; postSmoothTimer ; 4588.68 ; 84.9756 ; commTimer ; 13615.6 ; 21.1422 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 170.059 ; 3.14923 ; setSolutionTimer ; 29.1417 ; 0.539661 ; cycleWatch ; 17086.3 ; 1898.48 ; setupWatch ; 99.5212 ; 99.5212 ; restrictionTimer ; 881.476 ; 16.3236 ; preSmoothTimer ; 4577.68 ; 84.7718 ; upResidualTimer ; 1547.7 ; 28.6611 ; postSmoothTimer ; 4579.26 ; 84.801 ; commTimer ; 13623.4 ; 21.1544 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 167.567 ; 3.1031 ; setSolutionTimer ; 27.9457 ; 0.517513 ; cycleWatch ; 17103.6 ; 1900.4 ; setupWatch ; 95.2197 ; 95.2197 ; restrictionTimer ; 885.726 ; 16.4023 ; preSmoothTimer ; 4576.43 ; 84.7487 ; upResidualTimer ; 1558.16 ; 28.8549 ; postSmoothTimer ; 4595.01 ; 85.0928 ; commTimer ; 13828.6 ; 21.473 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 169.222 ; 3.13373 ; setSolutionTimer ; 30.722 ; 0.568925 ; cycleWatch ; 17101.2 ; 1900.13 ; setupWatch ; 95.6672 ; 95.6672 ; restrictionTimer ; 880.98 ; 16.3145 ; preSmoothTimer ; 4572.1 ; 84.6686 ; upResidualTimer ; 1569.89 ; 29.072 ; postSmoothTimer ; 4588.1 ; 84.9648 ; commTimer ; 13854.8 ; 21.5137 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 164.711 ; 3.05021 ; setSolutionTimer ; 25.839 ; 0.478501 ; cycleWatch ; 17080.6 ; 1897.84 ; setupWatch ; 99.6926 ; 99.6926 ; restrictionTimer ; 895.455 ; 16.5825 ; preSmoothTimer ; 4561.45 ; 84.4714 ; upResidualTimer ; 1562.5 ; 28.9352 ; postSmoothTimer ; 4571.19 ; 84.6517 ; commTimer ; 13546.3 ; 21.0347 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 170.635 ; 3.15991 ; setSolutionTimer ; 29.2114 ; 0.540952 ; cycleWatch ; 17074.9 ; 1897.21 ; setupWatch ; 99.1379 ; 99.1379 ; restrictionTimer ; 881.001 ; 16.3148 ; preSmoothTimer ; 4552.41 ; 84.3039 ; upResidualTimer ; 1568.72 ; 29.0504 ; postSmoothTimer ; 4558.34 ; 84.4137 ; commTimer ; 13636.6 ; 21.1748 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 167.945 ; 3.11008 ; setSolutionTimer ; 27.2011 ; 0.503724 ; cycleWatch ; 17093.5 ; 1899.27 ; setupWatch ; 94.4562 ; 94.4562 ; restrictionTimer ; 882.865 ; 16.3494 ; preSmoothTimer ; 4575.47 ; 84.7309 ; upResidualTimer ; 1557.85 ; 28.8491 ; postSmoothTimer ; 4577.03 ; 84.7597 ; commTimer ; 13825.1 ; 21.4676 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 168.681 ; 3.12371 ; setSolutionTimer ; 31.4573 ; 0.582543 ; cycleWatch ; 17089.1 ; 1898.79 ; setupWatch ; 100.42 ; 100.42 ; restrictionTimer ; 881.57 ; 16.3254 ; preSmoothTimer ; 4581.75 ; 84.8472 ; upResidualTimer ; 1553.62 ; 28.7708 ; postSmoothTimer ; 4571.63 ; 84.6599 ; commTimer ; 13812 ; 21.4471 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 164.56 ; 3.0474 ; setSolutionTimer ; 28.0171 ; 0.518836 ; cycleWatch ; 17066.2 ; 1896.24 ; setupWatch ; 99.506 ; 99.506 ; restrictionTimer ; 867.404 ; 16.063 ; preSmoothTimer ; 4587.42 ; 84.9523 ; upResidualTimer ; 1556.38 ; 28.8218 ; postSmoothTimer ; 4549.26 ; 84.2456 ; commTimer ; 13527.5 ; 21.0055 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 170.514 ; 3.15767 ; setSolutionTimer ; 29.6277 ; 0.548662 ; cycleWatch ; 17038.6 ; 1893.18 ; setupWatch ; 99.6381 ; 99.6381 ; restrictionTimer ; 893.923 ; 16.5541 ; preSmoothTimer ; 4565.08 ; 84.5385 ; upResidualTimer ; 1540.91 ; 28.5354 ; postSmoothTimer ; 4522.53 ; 83.7506 ; commTimer ; 13593.3 ; 21.1076 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
