correctionTimer ; 148.023 ; 3.0838 ; setSolutionTimer ; 22.7022 ; 0.472962 ; cycleWatch ; 21831.5 ; 2728.94 ; setupWatch ; 101.325 ; 101.325 ; restrictionTimer ; 743.979 ; 15.4996 ; preSmoothTimer ; 7788.28 ; 162.256 ; upResidualTimer ; 1321.05 ; 27.5218 ; postSmoothTimer ; 7787.6 ; 162.242 ; commTimer ; 17876 ; 21.434 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 148.843 ; 3.10089 ; setSolutionTimer ; 19.4525 ; 0.40526 ; cycleWatch ; 21840.2 ; 2730.02 ; setupWatch ; 98.6969 ; 98.6969 ; restrictionTimer ; 744.169 ; 15.5035 ; preSmoothTimer ; 7802.71 ; 162.556 ; upResidualTimer ; 1326.78 ; 27.6413 ; postSmoothTimer ; 7803.52 ; 162.573 ; commTimer ; 18164.4 ; 21.7799 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 146.029 ; 3.04228 ; setSolutionTimer ; 20.0953 ; 0.418653 ; cycleWatch ; 21840.3 ; 2730.03 ; setupWatch ; 97.549 ; 97.549 ; restrictionTimer ; 751.056 ; 15.647 ; preSmoothTimer ; 7805.29 ; 162.61 ; upResidualTimer ; 1317.03 ; 27.438 ; postSmoothTimer ; 7798.24 ; 162.463 ; commTimer ; 18164.9 ; 21.7805 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 149.595 ; 3.11657 ; setSolutionTimer ; 21.2662 ; 0.443045 ; cycleWatch ; 21845.4 ; 2730.68 ; setupWatch ; 96.2695 ; 96.2695 ; restrictionTimer ; 741.298 ; 15.4437 ; preSmoothTimer ; 7813.23 ; 162.776 ; upResidualTimer ; 1325.81 ; 27.6211 ; postSmoothTimer ; 7800.91 ; 162.519 ; commTimer ; 18179.1 ; 21.7975 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 148.596 ; 3.09575 ; setSolutionTimer ; 20.2343 ; 0.421547 ; cycleWatch ; 21839.1 ; 2729.89 ; setupWatch ; 100.167 ; 100.167 ; restrictionTimer ; 728.119 ; 15.1692 ; preSmoothTimer ; 7823.68 ; 162.993 ; upResidualTimer ; 1325.66 ; 27.6179 ; postSmoothTimer ; 7796.12 ; 162.419 ; commTimer ; 18185.9 ; 21.8056 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 145.836 ; 3.03825 ; setSolutionTimer ; 21.2887 ; 0.443515 ; cycleWatch ; 21827.4 ; 2728.42 ; setupWatch ; 100.583 ; 100.583 ; restrictionTimer ; 740.441 ; 15.4258 ; preSmoothTimer ; 7801.48 ; 162.531 ; upResidualTimer ; 1330.4 ; 27.7167 ; postSmoothTimer ; 7790.38 ; 162.3 ; commTimer ; 18001.7 ; 21.5847 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 146.07 ; 3.04313 ; setSolutionTimer ; 19.2099 ; 0.400205 ; cycleWatch ; 21827.8 ; 2728.47 ; setupWatch ; 95.3811 ; 95.3811 ; restrictionTimer ; 732.781 ; 15.2663 ; preSmoothTimer ; 7794.38 ; 162.383 ; upResidualTimer ; 1339.96 ; 27.9158 ; postSmoothTimer ; 7792.91 ; 162.352 ; commTimer ; 17981 ; 21.5599 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 149.684 ; 3.11842 ; setSolutionTimer ; 19.4155 ; 0.40449 ; cycleWatch ; 21826.7 ; 2728.34 ; setupWatch ; 97.7818 ; 97.7818 ; restrictionTimer ; 745.94 ; 15.5404 ; preSmoothTimer ; 7776.17 ; 162.004 ; upResidualTimer ; 1330.24 ; 27.7133 ; postSmoothTimer ; 7785.22 ; 162.192 ; commTimer ; 17892.8 ; 21.4541 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 148.682 ; 3.09754 ; setSolutionTimer ; 21.3337 ; 0.444452 ; cycleWatch ; 21823.8 ; 2727.97 ; setupWatch ; 97.1269 ; 97.1269 ; restrictionTimer ; 759.686 ; 15.8268 ; preSmoothTimer ; 7773.63 ; 161.951 ; upResidualTimer ; 1319.16 ; 27.4824 ; postSmoothTimer ; 7781.58 ; 162.116 ; commTimer ; 17873.6 ; 21.4312 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 149.311 ; 3.11064 ; setSolutionTimer ; 19.2879 ; 0.401832 ; cycleWatch ; 21832.6 ; 2729.08 ; setupWatch ; 96.1653 ; 96.1653 ; restrictionTimer ; 741.723 ; 15.4526 ; preSmoothTimer ; 7803.28 ; 162.568 ; upResidualTimer ; 1328.98 ; 27.6871 ; postSmoothTimer ; 7794.68 ; 162.389 ; commTimer ; 18183.2 ; 21.8024 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 147.741 ; 3.07793 ; setSolutionTimer ; 19.5049 ; 0.406353 ; cycleWatch ; 21835.3 ; 2729.41 ; setupWatch ; 96.9718 ; 96.9718 ; restrictionTimer ; 748.321 ; 15.59 ; preSmoothTimer ; 7804.95 ; 162.603 ; upResidualTimer ; 1314.24 ; 27.3799 ; postSmoothTimer ; 7796 ; 162.417 ; commTimer ; 18166.3 ; 21.7822 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 145.351 ; 3.02815 ; setSolutionTimer ; 21.252 ; 0.44275 ; cycleWatch ; 21833.2 ; 2729.15 ; setupWatch ; 98.9807 ; 98.9807 ; restrictionTimer ; 735.611 ; 15.3252 ; preSmoothTimer ; 7815.49 ; 162.823 ; upResidualTimer ; 1327.6 ; 27.6583 ; postSmoothTimer ; 7795.74 ; 162.411 ; commTimer ; 18213.8 ; 21.839 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 148.385 ; 3.09136 ; setSolutionTimer ; 21.4484 ; 0.446842 ; cycleWatch ; 21832.1 ; 2729.01 ; setupWatch ; 98.676 ; 98.676 ; restrictionTimer ; 729.302 ; 15.1938 ; preSmoothTimer ; 7826.81 ; 163.059 ; upResidualTimer ; 1318.57 ; 27.4702 ; postSmoothTimer ; 7793.15 ; 162.357 ; commTimer ; 18178.5 ; 21.7968 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 147.037 ; 3.06327 ; setSolutionTimer ; 21.8966 ; 0.45618 ; cycleWatch ; 21821.5 ; 2727.69 ; setupWatch ; 100.948 ; 100.948 ; restrictionTimer ; 733.795 ; 15.2874 ; preSmoothTimer ; 7794.03 ; 162.376 ; upResidualTimer ; 1338.16 ; 27.8783 ; postSmoothTimer ; 7785.41 ; 162.196 ; commTimer ; 17991.2 ; 21.5722 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 143.878 ; 2.99745 ; setSolutionTimer ; 20.6286 ; 0.429762 ; cycleWatch ; 21821.5 ; 2727.69 ; setupWatch ; 97.7681 ; 97.7681 ; restrictionTimer ; 734.554 ; 15.3032 ; preSmoothTimer ; 7792.13 ; 162.336 ; upResidualTimer ; 1337.74 ; 27.8696 ; postSmoothTimer ; 7790.57 ; 162.304 ; commTimer ; 17978.4 ; 21.5568 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 148.553 ; 3.09486 ; setSolutionTimer ; 19.9754 ; 0.416154 ; cycleWatch ; 21807.9 ; 2725.99 ; setupWatch ; 96.2478 ; 96.2478 ; restrictionTimer ; 746.958 ; 15.5616 ; preSmoothTimer ; 7763.64 ; 161.743 ; upResidualTimer ; 1336.9 ; 27.8522 ; postSmoothTimer ; 7772.59 ; 161.929 ; commTimer ; 17867.8 ; 21.4242 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 146.548 ; 3.05309 ; setSolutionTimer ; 22.0899 ; 0.460206 ; cycleWatch ; 21815.2 ; 2726.9 ; setupWatch ; 96.2925 ; 96.2925 ; restrictionTimer ; 756.409 ; 15.7585 ; preSmoothTimer ; 7772.16 ; 161.92 ; upResidualTimer ; 1311.47 ; 27.3222 ; postSmoothTimer ; 7782.46 ; 162.135 ; commTimer ; 17830.4 ; 21.3794 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 146.78 ; 3.05793 ; setSolutionTimer ; 20.8311 ; 0.433981 ; cycleWatch ; 21823.9 ; 2727.99 ; setupWatch ; 104.37 ; 104.37 ; restrictionTimer ; 740.023 ; 15.4172 ; preSmoothTimer ; 7795.21 ; 162.4 ; upResidualTimer ; 1331.08 ; 27.7309 ; postSmoothTimer ; 7784.48 ; 162.177 ; commTimer ; 18118.1 ; 21.7243 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 148.413 ; 3.09193 ; setSolutionTimer ; 19.9083 ; 0.414757 ; cycleWatch ; 21824.1 ; 2728.02 ; setupWatch ; 94.6234 ; 94.6234 ; restrictionTimer ; 755.327 ; 15.736 ; preSmoothTimer ; 7797.29 ; 162.444 ; upResidualTimer ; 1309.77 ; 27.287 ; postSmoothTimer ; 7787.1 ; 162.231 ; commTimer ; 18129.3 ; 21.7377 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 147.111 ; 3.06481 ; setSolutionTimer ; 18.0689 ; 0.376436 ; cycleWatch ; 21816.2 ; 2727.03 ; setupWatch ; 99.8042 ; 99.8042 ; restrictionTimer ; 742.897 ; 15.477 ; preSmoothTimer ; 7795.7 ; 162.41 ; upResidualTimer ; 1332.74 ; 27.7654 ; postSmoothTimer ; 7774.56 ; 161.97 ; commTimer ; 18167.4 ; 21.7835 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
