correctionTimer ; 128.896 ; 2.68533 ; setSolutionTimer ; 3.67308 ; 0.0765226 ; cycleWatch ; 4766.85 ; 595.857 ; setupWatch ; 89.1496 ; 89.1496 ; restrictionTimer ; 174.588 ; 3.63725 ; preSmoothTimer ; 1875.71 ; 39.0773 ; upResidualTimer ; 328.078 ; 6.83496 ; postSmoothTimer ; 1853.46 ; 38.6137 ; commTimer ; 2431.09 ; 2.91497 ; timeToSolveWatch ; 4879.1 ; 4879.1 ;
correctionTimer ; 128.828 ; 2.68392 ; setSolutionTimer ; 3.86927 ; 0.0806098 ; cycleWatch ; 4766.06 ; 595.758 ; setupWatch ; 89.4882 ; 89.4882 ; restrictionTimer ; 175.204 ; 3.65009 ; preSmoothTimer ; 1874.29 ; 39.0477 ; upResidualTimer ; 328.577 ; 6.84535 ; postSmoothTimer ; 1853.04 ; 38.605 ; commTimer ; 2428.32 ; 2.91165 ; timeToSolveWatch ; 4879.1 ; 4879.1 ;
correctionTimer ; 128.808 ; 2.6835 ; setSolutionTimer ; 3.84578 ; 0.0801204 ; cycleWatch ; 4765.87 ; 595.733 ; setupWatch ; 88.9866 ; 88.9866 ; restrictionTimer ; 176.13 ; 3.66938 ; preSmoothTimer ; 1872.98 ; 39.0204 ; upResidualTimer ; 329.001 ; 6.85418 ; postSmoothTimer ; 1853.25 ; 38.6095 ; commTimer ; 2428.66 ; 2.91206 ; timeToSolveWatch ; 4879.1 ; 4879.1 ;
correctionTimer ; 128.868 ; 2.68475 ; setSolutionTimer ; 3.85227 ; 0.0802557 ; cycleWatch ; 4765.03 ; 595.629 ; setupWatch ; 88.7339 ; 88.7339 ; restrictionTimer ; 175.155 ; 3.64906 ; preSmoothTimer ; 1874.41 ; 39.0503 ; upResidualTimer ; 328.439 ; 6.84248 ; postSmoothTimer ; 1852.65 ; 38.5968 ; commTimer ; 2425.58 ; 2.90837 ; timeToSolveWatch ; 4879.1 ; 4879.1 ;
correctionTimer ; 128.937 ; 2.68619 ; setSolutionTimer ; 3.75685 ; 0.0782678 ; cycleWatch ; 4764.99 ; 595.624 ; setupWatch ; 88.9191 ; 88.9191 ; restrictionTimer ; 172.231 ; 3.58815 ; preSmoothTimer ; 1878.42 ; 39.1337 ; upResidualTimer ; 327.481 ; 6.82253 ; postSmoothTimer ; 1852.15 ; 38.5865 ; commTimer ; 2426.21 ; 2.90913 ; timeToSolveWatch ; 4879.1 ; 4879.1 ;
correctionTimer ; 128.869 ; 2.68476 ; setSolutionTimer ; 3.8437 ; 0.0800771 ; cycleWatch ; 4764.53 ; 595.567 ; setupWatch ; 89.0197 ; 89.0197 ; restrictionTimer ; 175.201 ; 3.65003 ; preSmoothTimer ; 1874.8 ; 39.0582 ; upResidualTimer ; 327.847 ; 6.83015 ; postSmoothTimer ; 1851.1 ; 38.5645 ; commTimer ; 2421.82 ; 2.90386 ; timeToSolveWatch ; 4879.1 ; 4879.1 ;
correctionTimer ; 122.979 ; 2.56206 ; setSolutionTimer ; 3.40086 ; 0.0708513 ; cycleWatch ; 4764 ; 595.501 ; setupWatch ; 89.0844 ; 89.0844 ; restrictionTimer ; 172.942 ; 3.60296 ; preSmoothTimer ; 1873.12 ; 39.0234 ; upResidualTimer ; 331.97 ; 6.91604 ; postSmoothTimer ; 1852.01 ; 38.5836 ; commTimer ; 2439.7 ; 2.9253 ; timeToSolveWatch ; 4879.1 ; 4879.1 ;
correctionTimer ; 122.692 ; 2.55608 ; setSolutionTimer ; 3.42508 ; 0.0713558 ; cycleWatch ; 4753.46 ; 594.183 ; setupWatch ; 89.0318 ; 89.0318 ; restrictionTimer ; 178.828 ; 3.72558 ; preSmoothTimer ; 1870.88 ; 38.9766 ; upResidualTimer ; 328.269 ; 6.83893 ; postSmoothTimer ; 1846.96 ; 38.4783 ; commTimer ; 2435.49 ; 2.92025 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 128.846 ; 2.6843 ; setSolutionTimer ; 3.87734 ; 0.080778 ; cycleWatch ; 4756.81 ; 594.601 ; setupWatch ; 89.0274 ; 89.0274 ; restrictionTimer ; 179.77 ; 3.7452 ; preSmoothTimer ; 1869.56 ; 38.9493 ; upResidualTimer ; 328.383 ; 6.84132 ; postSmoothTimer ; 1844.02 ; 38.417 ; commTimer ; 2407.74 ; 2.88698 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 128.809 ; 2.68351 ; setSolutionTimer ; 3.9262 ; 0.0817957 ; cycleWatch ; 4755.04 ; 594.379 ; setupWatch ; 88.4778 ; 88.4778 ; restrictionTimer ; 179.349 ; 3.73645 ; preSmoothTimer ; 1868.18 ; 38.9205 ; upResidualTimer ; 330.323 ; 6.88174 ; postSmoothTimer ; 1843.62 ; 38.4087 ; commTimer ; 2414.63 ; 2.89525 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
