correctionTimer ; 266.36 ; 3.17096 ; setSolutionTimer ; 7.24771 ; 0.0862823 ; cycleWatch ; 4968.6 ; 354.9 ; setupWatch ; 43.703 ; 43.703 ; restrictionTimer ; 271.832 ; 3.23609 ; preSmoothTimer ; 1647.44 ; 19.6123 ; upResidualTimer ; 604.801 ; 7.20002 ; postSmoothTimer ; 1616.99 ; 19.2499 ; commTimer ; 1115.83 ; 1.17952 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 264.102 ; 3.14407 ; setSolutionTimer ; 6.42655 ; 0.0765066 ; cycleWatch ; 4974.44 ; 355.317 ; setupWatch ; 38.3548 ; 38.3548 ; restrictionTimer ; 268.825 ; 3.2003 ; preSmoothTimer ; 1649.19 ; 19.6332 ; upResidualTimer ; 606.745 ; 7.22316 ; postSmoothTimer ; 1624.62 ; 19.3407 ; commTimer ; 1132.19 ; 1.19681 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 266.205 ; 3.16911 ; setSolutionTimer ; 6.5042 ; 0.077431 ; cycleWatch ; 4969.36 ; 354.954 ; setupWatch ; 42.8645 ; 42.8645 ; restrictionTimer ; 269.735 ; 3.21113 ; preSmoothTimer ; 1647.95 ; 19.6184 ; upResidualTimer ; 606.994 ; 7.22612 ; postSmoothTimer ; 1621.48 ; 19.3033 ; commTimer ; 1111.68 ; 1.17514 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 264.147 ; 3.14461 ; setSolutionTimer ; 7.20197 ; 0.0857377 ; cycleWatch ; 4963.47 ; 354.533 ; setupWatch ; 43.7598 ; 43.7598 ; restrictionTimer ; 267.09 ; 3.17965 ; preSmoothTimer ; 1657.18 ; 19.7283 ; upResidualTimer ; 599.496 ; 7.13685 ; postSmoothTimer ; 1618.32 ; 19.2657 ; commTimer ; 1111.8 ; 1.17527 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 266.419 ; 3.17166 ; setSolutionTimer ; 7.46893 ; 0.0889158 ; cycleWatch ; 4960.24 ; 354.303 ; setupWatch ; 41.2818 ; 41.2818 ; restrictionTimer ; 270.692 ; 3.22253 ; preSmoothTimer ; 1651.65 ; 19.6625 ; upResidualTimer ; 601.147 ; 7.15651 ; postSmoothTimer ; 1614.68 ; 19.2224 ; commTimer ; 1105.41 ; 1.16851 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 264.034 ; 3.14326 ; setSolutionTimer ; 6.71091 ; 0.0798917 ; cycleWatch ; 4971.75 ; 355.125 ; setupWatch ; 41.1579 ; 41.1579 ; restrictionTimer ; 262.726 ; 3.12769 ; preSmoothTimer ; 1653.75 ; 19.6875 ; upResidualTimer ; 607.555 ; 7.23279 ; postSmoothTimer ; 1618.8 ; 19.2714 ; commTimer ; 1111.27 ; 1.1747 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 266.197 ; 3.16902 ; setSolutionTimer ; 6.66929 ; 0.0793963 ; cycleWatch ; 4965.04 ; 354.646 ; setupWatch ; 43.7359 ; 43.7359 ; restrictionTimer ; 268.655 ; 3.19827 ; preSmoothTimer ; 1644.12 ; 19.5729 ; upResidualTimer ; 611.275 ; 7.27709 ; postSmoothTimer ; 1612.31 ; 19.1942 ; commTimer ; 1096.25 ; 1.15883 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 264.256 ; 3.14591 ; setSolutionTimer ; 7.13405 ; 0.0849292 ; cycleWatch ; 4970 ; 355 ; setupWatch ; 43.0878 ; 43.0878 ; restrictionTimer ; 263.833 ; 3.14087 ; preSmoothTimer ; 1654.15 ; 19.6922 ; upResidualTimer ; 605.619 ; 7.20975 ; postSmoothTimer ; 1619.22 ; 19.2764 ; commTimer ; 1108.12 ; 1.17138 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 266.175 ; 3.16875 ; setSolutionTimer ; 6.9395 ; 0.0826131 ; cycleWatch ; 4965.23 ; 354.659 ; setupWatch ; 38.6399 ; 38.6399 ; restrictionTimer ; 273.575 ; 3.25685 ; preSmoothTimer ; 1644.28 ; 19.5748 ; upResidualTimer ; 605.938 ; 7.21355 ; postSmoothTimer ; 1613.04 ; 19.2029 ; commTimer ; 1104.45 ; 1.16749 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 264.142 ; 3.14454 ; setSolutionTimer ; 7.02994 ; 0.0836898 ; cycleWatch ; 4976.47 ; 355.462 ; setupWatch ; 41.1563 ; 41.1563 ; restrictionTimer ; 260.535 ; 3.1016 ; preSmoothTimer ; 1653.23 ; 19.6813 ; upResidualTimer ; 610.266 ; 7.26507 ; postSmoothTimer ; 1624.55 ; 19.3399 ; commTimer ; 1117.71 ; 1.18151 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
