correctionTimer ; 146.609 ; 3.05435 ; setSolutionTimer ; 22.4971 ; 0.46869 ; cycleWatch ; 19220.5 ; 2402.57 ; setupWatch ; 100.799 ; 100.799 ; restrictionTimer ; 645.006 ; 13.4376 ; preSmoothTimer ; 6766.38 ; 140.966 ; upResidualTimer ; 1154.37 ; 24.0493 ; postSmoothTimer ; 6828.1 ; 142.252 ; commTimer ; 15377 ; 18.4376 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 148.54 ; 3.09458 ; setSolutionTimer ; 20.4353 ; 0.425735 ; cycleWatch ; 19232.7 ; 2404.09 ; setupWatch ; 96.7294 ; 96.7294 ; restrictionTimer ; 651.099 ; 13.5646 ; preSmoothTimer ; 6774.12 ; 141.128 ; upResidualTimer ; 1153.77 ; 24.0369 ; postSmoothTimer ; 6837.17 ; 142.441 ; commTimer ; 15409.7 ; 18.4769 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 146.803 ; 3.0584 ; setSolutionTimer ; 21.9079 ; 0.456414 ; cycleWatch ; 19240.6 ; 2405.07 ; setupWatch ; 96.5539 ; 96.5539 ; restrictionTimer ; 650.748 ; 13.5573 ; preSmoothTimer ; 6765.86 ; 140.955 ; upResidualTimer ; 1166.77 ; 24.3077 ; postSmoothTimer ; 6834.47 ; 142.385 ; commTimer ; 15401.6 ; 18.4671 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 148.733 ; 3.09861 ; setSolutionTimer ; 19.3453 ; 0.403026 ; cycleWatch ; 19241.3 ; 2405.17 ; setupWatch ; 96.1339 ; 96.1339 ; restrictionTimer ; 648.118 ; 13.5025 ; preSmoothTimer ; 6781.71 ; 141.286 ; upResidualTimer ; 1161.4 ; 24.1958 ; postSmoothTimer ; 6845.44 ; 142.613 ; commTimer ; 15411.7 ; 18.4793 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 149.616 ; 3.117 ; setSolutionTimer ; 20.0078 ; 0.41683 ; cycleWatch ; 19234.4 ; 2404.31 ; setupWatch ; 94.2447 ; 94.2447 ; restrictionTimer ; 627.56 ; 13.0742 ; preSmoothTimer ; 6804.14 ; 141.753 ; upResidualTimer ; 1169.02 ; 24.3545 ; postSmoothTimer ; 6835.06 ; 142.397 ; commTimer ; 15402.1 ; 18.4678 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 147.33 ; 3.06938 ; setSolutionTimer ; 23.4805 ; 0.489178 ; cycleWatch ; 19221.6 ; 2402.69 ; setupWatch ; 97.175 ; 97.175 ; restrictionTimer ; 630.538 ; 13.1362 ; preSmoothTimer ; 6821.87 ; 142.122 ; upResidualTimer ; 1151.09 ; 23.981 ; postSmoothTimer ; 6822.61 ; 142.138 ; commTimer ; 15404.4 ; 18.4706 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 147.06 ; 3.06375 ; setSolutionTimer ; 21.4208 ; 0.446267 ; cycleWatch ; 19197.5 ; 2399.69 ; setupWatch ; 97.8408 ; 97.8408 ; restrictionTimer ; 619.531 ; 12.9069 ; preSmoothTimer ; 6812.93 ; 141.936 ; upResidualTimer ; 1169.33 ; 24.361 ; postSmoothTimer ; 6796.59 ; 141.596 ; commTimer ; 15264 ; 18.3022 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 146.708 ; 3.05642 ; setSolutionTimer ; 21.6509 ; 0.451061 ; cycleWatch ; 19205.9 ; 2400.73 ; setupWatch ; 94.9333 ; 94.9333 ; restrictionTimer ; 641.168 ; 13.3577 ; preSmoothTimer ; 6761 ; 140.854 ; upResidualTimer ; 1146.52 ; 23.8857 ; postSmoothTimer ; 6808.93 ; 141.853 ; commTimer ; 15129.1 ; 18.1404 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 148.009 ; 3.08351 ; setSolutionTimer ; 19.0949 ; 0.39781 ; cycleWatch ; 19221.1 ; 2402.64 ; setupWatch ; 97.0589 ; 97.0589 ; restrictionTimer ; 644.775 ; 13.4328 ; preSmoothTimer ; 6750.19 ; 140.629 ; upResidualTimer ; 1170.18 ; 24.3788 ; postSmoothTimer ; 6833.44 ; 142.363 ; commTimer ; 15353.8 ; 18.4098 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 148.854 ; 3.10112 ; setSolutionTimer ; 21.8544 ; 0.4553 ; cycleWatch ; 19234.3 ; 2404.29 ; setupWatch ; 94.6586 ; 94.6586 ; restrictionTimer ; 658.31 ; 13.7148 ; preSmoothTimer ; 6761.68 ; 140.868 ; upResidualTimer ; 1163.08 ; 24.2307 ; postSmoothTimer ; 6842.91 ; 142.561 ; commTimer ; 15370.7 ; 18.4301 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 148.572 ; 3.09525 ; setSolutionTimer ; 21.8946 ; 0.456137 ; cycleWatch ; 19243 ; 2405.37 ; setupWatch ; 95.6386 ; 95.6386 ; restrictionTimer ; 641.931 ; 13.3736 ; preSmoothTimer ; 6800.45 ; 141.676 ; upResidualTimer ; 1144.86 ; 23.8513 ; postSmoothTimer ; 6836.29 ; 142.423 ; commTimer ; 15409.4 ; 18.4765 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 148.346 ; 3.09055 ; setSolutionTimer ; 21.8211 ; 0.454607 ; cycleWatch ; 19241.8 ; 2405.23 ; setupWatch ; 95.6101 ; 95.6101 ; restrictionTimer ; 634.258 ; 13.2137 ; preSmoothTimer ; 6792.09 ; 141.502 ; upResidualTimer ; 1164.11 ; 24.2523 ; postSmoothTimer ; 6841.63 ; 142.534 ; commTimer ; 15395.6 ; 18.4599 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 146.922 ; 3.06088 ; setSolutionTimer ; 22.6554 ; 0.471988 ; cycleWatch ; 19231 ; 2403.88 ; setupWatch ; 98.9448 ; 98.9448 ; restrictionTimer ; 634.108 ; 13.2106 ; preSmoothTimer ; 6828.42 ; 142.259 ; upResidualTimer ; 1139.61 ; 23.7418 ; postSmoothTimer ; 6830.99 ; 142.312 ; commTimer ; 15392.8 ; 18.4566 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 148.304 ; 3.08966 ; setSolutionTimer ; 20.5858 ; 0.428871 ; cycleWatch ; 19214 ; 2401.75 ; setupWatch ; 96.8427 ; 96.8427 ; restrictionTimer ; 624.066 ; 13.0014 ; preSmoothTimer ; 6837.18 ; 142.441 ; upResidualTimer ; 1144.37 ; 23.8411 ; postSmoothTimer ; 6817.42 ; 142.03 ; commTimer ; 15425.6 ; 18.496 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 145.561 ; 3.03252 ; setSolutionTimer ; 21.463 ; 0.447146 ; cycleWatch ; 19194 ; 2399.24 ; setupWatch ; 95.9019 ; 95.9019 ; restrictionTimer ; 605.488 ; 12.6143 ; preSmoothTimer ; 6825.25 ; 142.193 ; upResidualTimer ; 1172.47 ; 24.4264 ; postSmoothTimer ; 6791.3 ; 141.485 ; commTimer ; 15257.4 ; 18.2943 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 149.13 ; 3.10688 ; setSolutionTimer ; 20.3372 ; 0.423692 ; cycleWatch ; 19195.5 ; 2399.44 ; setupWatch ; 97.3224 ; 97.3224 ; restrictionTimer ; 643.445 ; 13.4051 ; preSmoothTimer ; 6741.4 ; 140.446 ; upResidualTimer ; 1161.93 ; 24.207 ; postSmoothTimer ; 6795.12 ; 141.565 ; commTimer ; 15077.3 ; 18.0783 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 147.667 ; 3.07639 ; setSolutionTimer ; 18.3713 ; 0.382736 ; cycleWatch ; 19213.3 ; 2401.67 ; setupWatch ; 98.8375 ; 98.8375 ; restrictionTimer ; 641.551 ; 13.3656 ; preSmoothTimer ; 6768.3 ; 141.006 ; upResidualTimer ; 1149.28 ; 23.9434 ; postSmoothTimer ; 6824.27 ; 142.172 ; commTimer ; 15320.9 ; 18.3704 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 147.86 ; 3.08041 ; setSolutionTimer ; 20.6108 ; 0.429391 ; cycleWatch ; 19229.8 ; 2403.72 ; setupWatch ; 98.5183 ; 98.5183 ; restrictionTimer ; 647.484 ; 13.4893 ; preSmoothTimer ; 6770.15 ; 141.045 ; upResidualTimer ; 1160.31 ; 24.1732 ; postSmoothTimer ; 6834.95 ; 142.395 ; commTimer ; 15373.7 ; 18.4337 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
