correctionTimer ; 186.126 ; 3.44678 ; setSolutionTimer ; 5.29469 ; 0.0980498 ; cycleWatch ; 10813.4 ; 1201.49 ; setupWatch ; 31.5212 ; 31.5212 ; restrictionTimer ; 184.69 ; 3.42018 ; preSmoothTimer ; 4840.81 ; 89.6447 ; upResidualTimer ; 405.616 ; 7.5114 ; postSmoothTimer ; 4807.32 ; 89.0244 ; commTimer ; 1012.07 ; 1.52421 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 189.399 ; 3.50738 ; setSolutionTimer ; 5.17929 ; 0.0959128 ; cycleWatch ; 10823.2 ; 1202.58 ; setupWatch ; 31.4203 ; 31.4203 ; restrictionTimer ; 195.466 ; 3.61974 ; preSmoothTimer ; 4837.39 ; 89.5814 ; upResidualTimer ; 398.498 ; 7.3796 ; postSmoothTimer ; 4821.97 ; 89.2957 ; commTimer ; 963.147 ; 1.45052 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 189.376 ; 3.50697 ; setSolutionTimer ; 5.18786 ; 0.0960716 ; cycleWatch ; 10819.2 ; 1202.13 ; setupWatch ; 32.6325 ; 32.6325 ; restrictionTimer ; 181.862 ; 3.36782 ; preSmoothTimer ; 4849.98 ; 89.8144 ; upResidualTimer ; 399.553 ; 7.39914 ; postSmoothTimer ; 4818.9 ; 89.2389 ; commTimer ; 958.94 ; 1.44419 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 187.368 ; 3.46977 ; setSolutionTimer ; 4.95091 ; 0.0916835 ; cycleWatch ; 10821.2 ; 1202.36 ; setupWatch ; 33.2121 ; 33.2121 ; restrictionTimer ; 189.26 ; 3.50481 ; preSmoothTimer ; 4843.95 ; 89.7029 ; upResidualTimer ; 398.29 ; 7.37573 ; postSmoothTimer ; 4824.51 ; 89.3428 ; commTimer ; 957.622 ; 1.4422 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 186.062 ; 3.44559 ; setSolutionTimer ; 5.30874 ; 0.0983099 ; cycleWatch ; 10813.9 ; 1201.54 ; setupWatch ; 27.9201 ; 27.9201 ; restrictionTimer ; 183.815 ; 3.40398 ; preSmoothTimer ; 4841.14 ; 89.6508 ; upResidualTimer ; 406.133 ; 7.52098 ; postSmoothTimer ; 4807.64 ; 89.0303 ; commTimer ; 1018.99 ; 1.53462 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 189.502 ; 3.50929 ; setSolutionTimer ; 5.19708 ; 0.0962422 ; cycleWatch ; 10823.3 ; 1202.59 ; setupWatch ; 30.4185 ; 30.4185 ; restrictionTimer ; 194.956 ; 3.61029 ; preSmoothTimer ; 4837.67 ; 89.5864 ; upResidualTimer ; 398.69 ; 7.38314 ; postSmoothTimer ; 4822.1 ; 89.2981 ; commTimer ; 966.848 ; 1.4561 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 189.365 ; 3.50675 ; setSolutionTimer ; 5.19733 ; 0.0962468 ; cycleWatch ; 10820 ; 1202.22 ; setupWatch ; 32.8113 ; 32.8113 ; restrictionTimer ; 182.638 ; 3.38218 ; preSmoothTimer ; 4849.35 ; 89.8028 ; upResidualTimer ; 399.36 ; 7.39555 ; postSmoothTimer ; 4819.14 ; 89.2434 ; commTimer ; 961.506 ; 1.44805 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 187.309 ; 3.46869 ; setSolutionTimer ; 4.97616 ; 0.0921511 ; cycleWatch ; 10820.6 ; 1202.29 ; setupWatch ; 32.1454 ; 32.1454 ; restrictionTimer ; 189.563 ; 3.51042 ; preSmoothTimer ; 4843.93 ; 89.7023 ; upResidualTimer ; 397.967 ; 7.36976 ; postSmoothTimer ; 4824.8 ; 89.3481 ; commTimer ; 959.548 ; 1.4451 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 185.247 ; 3.4305 ; setSolutionTimer ; 5.21766 ; 0.0966233 ; cycleWatch ; 10812.2 ; 1201.35 ; setupWatch ; 33.2571 ; 33.2571 ; restrictionTimer ; 184.433 ; 3.41542 ; preSmoothTimer ; 4835.31 ; 89.5428 ; upResidualTimer ; 411.288 ; 7.61645 ; postSmoothTimer ; 4802.37 ; 88.9328 ; commTimer ; 1046.82 ; 1.57654 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 188.472 ; 3.49023 ; setSolutionTimer ; 5.16421 ; 0.0956336 ; cycleWatch ; 10821.3 ; 1202.36 ; setupWatch ; 29.0567 ; 29.0567 ; restrictionTimer ; 195.127 ; 3.61347 ; preSmoothTimer ; 4832.18 ; 89.4848 ; upResidualTimer ; 403.865 ; 7.47897 ; postSmoothTimer ; 4817.07 ; 89.205 ; commTimer ; 1006.45 ; 1.51574 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
