correctionTimer ; 179.706 ; 3.32789 ; setSolutionTimer ; 13.8279 ; 0.256073 ; cycleWatch ; 37182.7 ; 4131.41 ; setupWatch ; 40.6031 ; 40.6031 ; restrictionTimer ; 296.308 ; 5.48719 ; preSmoothTimer ; 17800.4 ; 329.638 ; upResidualTimer ; 605.268 ; 11.2087 ; postSmoothTimer ; 17779.3 ; 329.245 ; commTimer ; 2378.72 ; 3.57702 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 180.503 ; 3.34264 ; setSolutionTimer ; 13.2211 ; 0.244835 ; cycleWatch ; 37191.9 ; 4132.43 ; setupWatch ; 40.3278 ; 40.3278 ; restrictionTimer ; 295.66 ; 5.47518 ; preSmoothTimer ; 17798.5 ; 329.601 ; upResidualTimer ; 608.562 ; 11.2697 ; postSmoothTimer ; 17783.8 ; 329.329 ; commTimer ; 2392.82 ; 3.59822 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 180.489 ; 3.34238 ; setSolutionTimer ; 12.3757 ; 0.22918 ; cycleWatch ; 37199.2 ; 4133.25 ; setupWatch ; 39.0675 ; 39.0675 ; restrictionTimer ; 296.167 ; 5.48458 ; preSmoothTimer ; 17799.2 ; 329.615 ; upResidualTimer ; 608.228 ; 11.2635 ; postSmoothTimer ; 17790.4 ; 329.452 ; commTimer ; 2400.48 ; 3.60975 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 180.303 ; 3.33894 ; setSolutionTimer ; 13.0497 ; 0.241662 ; cycleWatch ; 37192.5 ; 4132.5 ; setupWatch ; 39.9675 ; 39.9675 ; restrictionTimer ; 296.322 ; 5.48744 ; preSmoothTimer ; 17797.9 ; 329.59 ; upResidualTimer ; 608.798 ; 11.274 ; postSmoothTimer ; 17784.1 ; 329.336 ; commTimer ; 2392.79 ; 3.59819 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 179.908 ; 3.33163 ; setSolutionTimer ; 13.1621 ; 0.243743 ; cycleWatch ; 37190.5 ; 4132.28 ; setupWatch ; 40.352 ; 40.352 ; restrictionTimer ; 293.947 ; 5.44347 ; preSmoothTimer ; 17800.5 ; 329.639 ; upResidualTimer ; 608.453 ; 11.2677 ; postSmoothTimer ; 17784.6 ; 329.344 ; commTimer ; 2393.79 ; 3.59968 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 181.065 ; 3.35305 ; setSolutionTimer ; 13.7676 ; 0.254956 ; cycleWatch ; 37190.3 ; 4132.26 ; setupWatch ; 38.6494 ; 38.6494 ; restrictionTimer ; 297.854 ; 5.51582 ; preSmoothTimer ; 17799.3 ; 329.617 ; upResidualTimer ; 605.199 ; 11.2074 ; postSmoothTimer ; 17784.5 ; 329.343 ; commTimer ; 2389.7 ; 3.59353 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 182.968 ; 3.38829 ; setSolutionTimer ; 14.182 ; 0.26263 ; cycleWatch ; 37185.5 ; 4131.72 ; setupWatch ; 40.28 ; 40.28 ; restrictionTimer ; 293.639 ; 5.43775 ; preSmoothTimer ; 17802.9 ; 329.683 ; upResidualTimer ; 605.449 ; 11.212 ; postSmoothTimer ; 17776.4 ; 329.193 ; commTimer ; 2378.83 ; 3.57719 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 180.416 ; 3.34104 ; setSolutionTimer ; 13.3316 ; 0.246881 ; cycleWatch ; 37184.8 ; 4131.64 ; setupWatch ; 40.1908 ; 40.1908 ; restrictionTimer ; 295.111 ; 5.46503 ; preSmoothTimer ; 17802.2 ; 329.671 ; upResidualTimer ; 605.494 ; 11.2129 ; postSmoothTimer ; 17776.7 ; 329.199 ; commTimer ; 2385.06 ; 3.58656 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 180.501 ; 3.34261 ; setSolutionTimer ; 14.4334 ; 0.267285 ; cycleWatch ; 37188.9 ; 4132.1 ; setupWatch ; 41.0441 ; 41.0441 ; restrictionTimer ; 296.077 ; 5.4829 ; preSmoothTimer ; 17795.5 ; 329.547 ; upResidualTimer ; 610.098 ; 11.2981 ; postSmoothTimer ; 17780.3 ; 329.264 ; commTimer ; 2383.7 ; 3.58452 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 180.237 ; 3.33772 ; setSolutionTimer ; 12.3817 ; 0.22929 ; cycleWatch ; 37197.6 ; 4133.06 ; setupWatch ; 39.2956 ; 39.2956 ; restrictionTimer ; 297.276 ; 5.50511 ; preSmoothTimer ; 17795.7 ; 329.549 ; upResidualTimer ; 610.788 ; 11.3109 ; postSmoothTimer ; 17787.9 ; 329.405 ; commTimer ; 2398.66 ; 3.60701 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
